PT-31 завихритель керамический к плазмотрону,33 руб
PT-31 насадка защитная к плазмотрону,42 руб
SG-55 насадка защитная для плазмотрона,47 руб
PT-31 сопло длинное для плазмотрона,47 руб
"WP-17/18/26 цанга 1,6 мм для TIG горелок",56 руб
"WP-17/18/26 цанга 3,2 мм для TIG горелок",56 руб
"WP-17/18/26 цанга 2,4 мм для TIG горелок",56 руб
WP-17/18/26 сопло №4 для TIG горелок,57 руб
WP-17/18/26 сопло №5 для TIG горелок,57 руб
WP-17/18/26 сопло №6 для TIG горелок,57 руб
WP-17/18/26 сопло №7 для TIG горелок,57 руб
Соединитель быстроразъёмный (TIG вода),70 руб
SG-55 катод для плазмотрона,73 руб
SG-55 сопло для плазмотрона,73 руб
"SG-55 насадка защитная для плазмотрона, керамика",80 руб
SG-55 насадка упорная для плазмотрона,81 руб
"Вольфрамовый электрод красный WT-20, 150/1.6",82 руб
PT-31 катод длинный для плазмотрона,92 руб
PT-60 сопло для плазмотрона,98 руб
P-80 защитная насадка для плазмотрона,100 руб
PT-60 катод для плазмотрона,108 руб
Вставка MS 400 для фрезеровальных машин,132 руб
"P-80 (1,5 мм) сопло для плазмотрона",143 руб
P-80 катод для плазмотрона,143 руб
Ремень транспортировочный,153 руб
CB-150 катод для плазмотрона,167 руб
"CB-150 (1,6 мм) сопло для плазмотрона",167 руб
Кабельный штекер 16-25,169 руб
Кабельное гнездо 16-25 /Socket (03.01.004.001),169 руб
Сварочный кабель 25 мм,200 руб
Цанга для приварки шпилек М8,213 руб
Цанга для приварки шпилек М3,213 руб
Цанга для приварки шпилек М4,213 руб
Цанга для приварки шпилек М5,213 руб
Цанга для приварки шпилек М6,213 руб
Кабельный штекер 35-50,257 руб
Кабельное гнездо 35-50 / Output Socket (03.01.004.003),257 руб
Сварочный кабель 35 мм,266 руб
Клемма заземления 200/300 А,278 руб
Опоры для конвектора пассивные (2шт.),280 руб
Вилка 024 3Р+РЕ 32А 380В IP44,300 руб
Розетка 224 переносная 3Р+РЕ 32А 380В IP44,300 руб
Держатель электрода 150/200 А,309 руб
Вставка MS 200 для фрезеровальных машин,325 руб
WP-17/18/26 хвостовик длинный для горелки,392 руб
Сварочный кабель 50 мм,399 руб
P-80 опорные колеса для плазмотрона,428 руб
Клемма заземления 400/500 А,435 руб
Ремень для станка резки арматуры ТСС-GQ 42A/Belt,441 руб
Держатель электрода 300/400 А,450 руб
"Вольфрамовый электрод синий WL20-175/1,0 (10 шт)",454 руб
Ролик V 0.6/0.8 для полуавтоматов TOP MIG/MMA 160 / 200,493 руб
