Бурение геотермальных скважин c установкой зондов,950 руб
Наконечник зонда в гильзе с грузом 6кг,3 960 руб
Обвязка буферного бака,10 000 руб
Электромонтажные работы по подключению теплового насоса,15 000 руб
Пуско-наладка системы,15 000 руб
"Вертикальный зонд для скважин 60м (Collector 40x3,0 2x60 m PE100 SDR13,6 PN12,5)",19 150 руб
Обвязка теплового насоса,20 000 руб
"Вертикальный ""Турбо"" зонд для скважин 60м (Collector 40x2,4 2x60 m PE100 SDR17 PN10 TURBO)",22 940 руб
"Вертикальный зонд для скважин 100м (Collector 40x3,0 2x100 m PE100 SDR13,6 PN12,5)",29 270 руб
Коллекторный колодец Energeo Brado 2 3 5 D,79 960 руб
Сварочный аппарат MUOVITECH,84 280 руб
Коллекторный колодец Energeo Brado 3 3 5 D,90 037 руб
Коллекторный колодец Energeo Brado 2 3 5,98 807 руб
Коллекторный колодец Energeo Brado 4 3 5 D,100 020 руб
Коллекторный колодец Energeo Brado 5 3 5 D,102 446 руб
Коллекторный колодец Energeo Brado 6 3 5 D,113 829 руб
Коллекторный колодец Energeo Brado 3 3 5,118 308 руб
Коллекторный колодец Energeo Altra 02 3 6,121 760 руб
Коллекторный колодец Energeo Brado 7 3 5 D,122 600 руб
Коллекторный колодец Energeo Altra 03 3 6,130 717 руб
Коллекторный колодец Energeo Brado 8 3 5 D,131 463 руб
Коллекторный колодец Energeo Brado 4 3 5,137 715 руб
Коллекторный колодец Energeo Altra 02 3 6 RB,138 741 руб
Коллекторный колодец Energeo Altra 04 3 6,139 767 руб
Коллекторный колодец Energeo Altra 05 3 6,148 724 руб
Коллекторный колодец Energeo Brado 5 3 5,152 083 руб
Коллекторный колодец Energeo Altra 03 3 6 RB,156 189 руб
Коллекторный колодец Energeo Altra 06 3 6,157 775 руб
Коллекторный колодец Energeo Altra 07 3 6,166 825 руб
Коллекторный колодец Energeo Brado 6 3 5,170 371 руб
Коллекторный колодец Energeo Altra 04 3 6 RB,173 729 руб
Коллекторный колодец Energeo Altra 08 3 6,175 782 руб
Коллекторный колодец Energeo Altra 09 3 6,184 832 руб
Коллекторный колодец Energeo Brado 7 3 5,188 658 руб
Коллекторный колодец Energeo Altra 05 3 6 RB,191 270 руб
Коллекторный колодец Energeo Altra 10 3 6,193 883 руб
Солнечная система Tesy SS 150 SP08,196 427 руб
Коллекторный колодец Energeo Altra 11 3 6,202 840 руб
Коллекторный колодец Energeo Brado 8 3 5,206 945 руб
Коллекторный колодец Energeo Altra 06 3 6 RB,208 718 руб
Коллекторный колодец Energeo Altra 12 3 6,211 890 руб
Коллекторный колодец Energeo Altra 13 3 6,217 582 руб
Коллекторный колодец Energeo Altra 14 3 6,226 072 руб
Коллекторный колодец Energeo Altra 07 3 6 RB,226 259 руб
Коллекторный колодец Energeo Altra 15 3 6,234 656 руб
Коллекторный колодец Energeo Altra 16 3 6,243 147 руб
Коллекторный колодец Energeo Altra 08 3 6 RB,243 706 руб
Коллекторный колодец Energeo Altra 09 3 6 RB,261 247 руб
Солнечная система Tesy SS 200 SP08,269 817 руб
Коллекторный колодец Energeo Altra 10 3 6 RB,278 788 руб
Солнечная система Tesy SS 300 SP08,284 926 руб
Коллекторный колодец Energeo Altra 11 3 6 RB,296 236 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 7MS (Штибель Эльтрон),308 100 руб
Коллекторный колодец Energeo Altra 12 3 6 RB,313 777 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 10MS (Штибель Эльтрон),323 300 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 10 M (Штибель Эльтрон),323 300 руб
Коллекторный колодец Energeo Altra 13 3 6 RB,327 959 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 13M (Штибель Эльтрон),335 500 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 5 (Штибель Эльтрон),341 500 руб
Коллекторный колодец Energeo Altra 14 3 6 RB,345 033 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF16M (Штибель Эльтрон),345 500 руб
Воздушный тепловой насос STIEBEL ELTRON WPL 7ACS,346 900 руб
Коллекторный колодец Energeo Altra 15 3 6 RB,354 550 руб
Геотермальный тепловой насос STIEBEL ELTRON  WPF 7 (Штибель Эльтрон),364 600 руб
Воздушный тепловой насос STIEBEL ELTRON WPL 13S,368 000 руб
Солнечная система Tesy SS 500-6 SP08,373 426 руб
Воздушный тепловой насос STIEBEL ELTRON WPL 16S,378 000 руб
Коллекторный колодец Energeo Altra 16 3 6 RB,378 995 руб
Воздушный тепловой насос STIEBEL ELTRON  WPL 10ACS,397 850 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 13 (Штибель Эльтрон),402 300 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 16 (Штибель Эльтрон),409 800 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 5E (Штибель Эльтрон),431 800 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 5S (Штибель Эльтрон),431 800 руб
Воздушный тепловой насос STIEBEL ELTRON WPL 13E,449 000 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 7E (Штибель Эльтрон),460 000 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 7S (Штибель Эльтрон),460 000 руб
Воздушный тепловой насос STIEBEL ELTRON WPL 18E,464 500 руб
Моноблочный тепловой насос NIBE воздух/вода F2040-8,415 458 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 10E (Штибель Эльтрон),476 000 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 10S (Штибель Эльтрон),476 000 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 10 (Штибель Эльтрон),476 000 руб
"Геотермальный тепловой насос WATERKOTTE DS 5008,5Ai",476 100 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5008.5 Ai,476 100 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5010.5 Ai,479 343 руб
"Геотермальный тепловой насос WATERKOTTE DS 5010,5Ai",479 343 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5010.5 Ai,479 343 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 13E (Штибель Эльтрон),485 600 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 16 (Штибель Эльтрон),488 500 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 16E (Штибель Эльтрон),496 400 руб
"Геотермальный тепловой насос WATERKOTTE DS 5012,5Ai",505 080 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5012.5 Ai,505 080 руб
"Геотермальный тепловой насос WATERKOTTE DS 5014,5Ai",522 330 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5014.5 Ai,522 330 руб
Воздушный тепловой насос STIEBEL ELTRON WPL 23E,524 800 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 5 cool (Штибель Эльтрон),525 500 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5012.5 Ai,532 542 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5008.5 Ai NC,532 887 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5008.5 Ai NC,532 887 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5010.5 Ai NC,536 130 руб
Геотермальный тепловой насос Vaillant  geoTHERM VWW 61/3,536 956 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5010.5 Ai NC,539 130 руб
Геотермальный тепловой насос DANFOSS DHP-L Opti 4,541 435 руб
Геотермальный тепловой насос Vaillant  geoTHERM VWS 81/3,542 928 руб
Геотермальный тепловой насос Vaillant  geoTHERM VWW 81/3,542 928 руб
Тепловой насос Hajdu LV 80,546 156 руб
Геотермальный тепловой насос DANFOSS DHP-L 6,547 313 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 7 cool (Штибель Эльтрон),549 300 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5014.5 Ai,549 792 руб
Воздушный тепловой насос DANFOSS DHP-AQ 6,552 258 руб
Геотермальный тепловой насос DANFOSS DHP-L Opti 8,558 789 руб
Воздушный тепловой насос DANFOSS DHP-AQ 9,559 722 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5012.5 Ai NC,561 936 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5012.5 Ai NC,561 939 руб
"Геотермальный тепловой насос WATERKOTTE DS 5017,5Ai",566 007 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5017.5 Ai,566 007 руб
Геотермальный тепловой насос DANFOSS DHP-L 10,566 253 руб
Геотермальный тепловой насос DANFOSS DHP-L Opti 10,566 253 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 10 cool (Штибель Эльтрон),571 500 руб
Геотермальный тепловой насос Vaillant  geoTHERM VWS 101/3,575 584 руб
Геотермальный тепловой насос Vaillant  geoTHERM VWW 101/3,575 584 руб
Моноблочный тепловой насос NIBE воздух/вода F2040-12,506 596 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5014.5 Ai NC,579 186 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5014.5 Ai NC,579 186 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 13 cool (Штибель Эльтрон),582 000 руб
Геотермальный тепловой насос DANFOSS DHP-L 12,589 952 руб
Геотермальный тепловой насос DANFOSS DHP-L Opti 12,589 952 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5017.5 Ai,593 400 руб
Геотермальный тепловой насос STIEBEL ELTRON WPC 5 (Штибель Эльтрон),595 600 руб
Геотермальный тепловой насос STIEBEL ELTRON WPF 16 cool (Штибель Эльтрон),595 900 руб
Геотермальный тепловой насос NIBE F1126- 8 R,527 134 руб
Геотермальный тепловой насос STIEBEL ELTRON WPC 5 cool  с режимом охлаждения,612 599 руб
Геотермальный тепловой насос STIEBEL ELTRON WPC 5,612 599 руб
Геотермальный тепловой насос STIEBEL ELTRON  WPC 7 (Штибель Эльтрон),612 599 руб
Геотермальный тепловой насос STIEBEL ELTRON WPC 10 (Штибель Эльтрон),612 599 руб
Геотермальный тепловой насос STIEBEL ELTRON WPC 13 (Штибель Эльтрон),612 599 руб
Геотермальный тепловой насос STIEBEL ELTRON WPC 5S (Штибель Эльтрон),612 599 руб
Геотермальный тепловой насос STIEBEL ELTRON WPC 7S (Штибель Эльтрон),612 599 руб
Геотермальный тепловой насос STIEBEL ELTRON WPC 10S (Штибель Эльтрон),612 599 руб
Геотермальный тепловой насос STIEBEL ELTRON WPC 5 cool (Штибель Эльтрон),612 599 руб
Геотермальный тепловой насос STIEBEL ELTRON WPC 7 cool (Штибель Эльтрон),612 599 руб
"Геотермальный тепловой насос WATERKOTTE DS 5020,5Ai",615 411 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5020.5 Ai,615 411 руб
Воздушный тепловой насос DANFOSS DHP-AQ 11,618 223 руб
Геотермальный тепловой насос DANFOSS DHP-L Opti Pro 6,620 836 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5017.5 Ai NC,622 794 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch DS 5017.5 Ai NC,622 794 руб
Геотермальный тепловой насос Vaillant  geoTHERM VWS 64/3,623 261 руб
Геотермальный тепловой насос NIBE F1226-6 R,558 323 руб
Воздушный тепловой насос DANFOSS DHP-AQ 13,635 484 руб
Тепловой насос воздух/вода NIBE SPLIT package 1,635 764 руб
Геотермальный тепловой насос DANFOSS DHP-L 16,635 951 руб
Воздушный тепловой насос WATERKOTTE EcoTouch Ai1 Air 5004.5 Power Inverter,636 525 руб
Геотермальный тепловой насос DANFOSS DHP-L Opti Pro 8,636 790 руб
Геотермальный тепловой насос Vaillant  geoTHERM VWS 84/3,637 163 руб
Геотермальный тепловой насос DANFOSS DHP-H Opti 4,645 934 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch Ai1 Geo 5006.5,646 185 руб
Геотермальный тепловой насос WATERKOTTE EcoTouch Ai1 Geo 5006.5,649 185 руб
Геотермальный тепловой насос NIBE F1145-6 EXP,576 140 руб
Геотермальный тепловой насос DANFOSS DHP-H 6,656 757 руб
Геотермальный тепловой насос DANFOSS DHP-H Opti 6,656 850 руб
Воздушный тепловой насос WATERKOTTE EcoTouch Ai1 Air 5006.5 Power Inverter,659 295 руб
Воздушный тепловой насос WATERKOTTE EcoTouch Ai1 Air 5004.5 Power Inverter Silver,663 918 руб
Геотермальный тепловой насос NIBE F1145-5 1x230v,584 608 руб
