"Кран шаровой латунный вр-вр полнопроходной, с ручка-рычаг, ду 15 ру 25 Броен (34966B)",275 руб
"Кран шаровой латунный вр-вр полнопроходной, с ручка-бабочка, ду 15 ру 25 Броен (34982B)",300 руб
Фильтр латунный ду 15 ру 16 Броен (20150B),330 руб
"Кран шаровой латунный с штуцером, изогнутый, наружная резьба полнопроходной, с ручка-рычаг, ду 15 ру 25 Броен (35019B)",340 руб
"Кран шаровой латунный нр-вр полнопроходной, с ручка-бабочка, ду 15 ру 25 Броен (34986B)",349 руб
"Кран шаровой латунный нр-вр полнопроходной, с ручка-рычаг, ду 15 ру 25 Броен (34975B)",350 руб
"Кран шаровой латунный вр-вр полнопроходной с дренажом, с ручка-бабочка, ду 15 ру 25 Броен (35338B)",380 руб
Клапан обратный латунный ду 15 ру 16 Броен (10400B),395 руб
"Кран шаровой латунный вр-вр полнопроходной, с ручка-рычаг, ду 20 ру 25 Броен (34967B)",400 руб
"Кран шаровой латунный внутренняя резьба /внутренняя накидная гайка полнопроходной, с ручка-бабочка, ду 15 ру 25 Броен (35561В)",400 руб
"Кран шаровой латунный вр-вр полнопроходной, с ручка-бабочка, ду 20 ру 25 Броен (34983B)",440 руб
Фильтр латунный ду 20 ру 16 Броен (20151B),455 руб
Воздухоотводчик латунный ду 15 ру 10 Броен (38366B),490 руб
"Кран шаровой латунный нр-вр полнопроходной, с ручка-бабочка, ду 20 ру 25 Броен (34987B)",520 руб
"Кран шаровой латунный с штуцером, изогнутый, наружная резьба полнопроходной, с ручка-рычаг, ду 20 ру 25 Броен (35017B)",522 руб
"Кран шаровой латунный вр-вр полнопроходной с дренажом, с ручка-бабочка, ду 20 ру 25 Броен (35339B)",525 руб
"Кран шаровой латунный внутренняя резьба DIN 259/накидная гайка (американка) полнопроходной, с ручка-бабочка, ду 15 ру 25 Броен (35558B)",525 руб
Клапан обратный латунный ду 20 ру 16 Броен (10401B),525 руб
"Кран шаровой латунный нр-вр полнопроходной, с ручка-рычаг, ду 20 ру 25 Броен (34976B)",550 руб
"Кран шаровой латунный внутренняя резьба /внутренняя накидная гайка полнопроходной, с ручка-бабочка, ду 20 ру 25 Броен (35562В)",550 руб
"Кран шаровой латунный вр-вр полнопроходной, с ручка-рычаг, ду 25 ру 25 Броен (34968B)",650 руб
"Кран шаровой латунный вр-вр полнопроходной, с ручка-бабочка, ду 25 ру 25 Броен (34984B)",650 руб
Клапан обратный латунный ду 25 ру 16 Броен (10402B),685 руб
"Кран шаровой латунный нр-вр полнопроходной, с ручка-бабочка, ду 25 ру 25 Броен (34988B)",750 руб
"Кран шаровой латунный нр-вр полнопроходной, с ручка-рычаг, ду 25 ру 25 Броен (34977B)",755 руб
Кран шаровой стальной сварка сварка Ду 15 Ру 40 ЛД (КШ.Ц.П.015.040.02),790 руб
"Кран шаровой латунный вр-вр полнопроходной с дренажом, с ручка-бабочка, ду 25 ру 25 Броен (35340B)",815 руб
Фильтр латунный ду 25 ру 16 Броен (20152B),820 руб
Кран шаровой стальной муфта муфта Ду 15 Ру 40 ЛД (КШ.Ц.М.015.040.02),820 руб
"Кран шаровой латунный с штуцером, изогнутый, наружная резьба полнопроходной, с ручка-рычаг, ду 25 ру 25 Броен (35018B)",825 руб
"Кран шаровой латунный внутренняя резьба DIN 259/накидная гайка (американка) полнопроходной, с ручка-бабочка, ду 20 ру 25 Броен (35559B)",850 руб
"Кран шаровой латунный внутренняя резьба /внутренняя накидная гайка полнопроходной, с ручка-бабочка, ду 25 ру 25 Броен (35563В)",850 руб
Кран шаровой стальной сварка сварка Ду 20 Ру 40 ЛД (КШ.Ц.П.020.040.02),850 руб
Кран шаровой стальной сварка сварка Ду 25 Ру 40 ЛД (КШ.Ц.П.025.040.02),850 руб
Кран шаровой стальной муфта муфта Ду 20 Ру 40 ЛД (КШ.Ц.М.020.040.02),860 руб
Кран шаровой стальной сварка сварка Ду 32 Ру 40 ЛД (КШ.Ц.П.032.040.02),900 руб
Кран шаровой стальной муфта муфта Ду 25 Ру 40 ЛД (КШ.Ц.М.025.040.02),950 руб
Кран шаровой стальной сварка сварка Ду 15 Ру 16 Броен (КШТ 11с10фт 60.002.015) ,978 руб
"Кран шаровой латунный вр-вр полнопроходной, с ручка-рычаг, ду 32 ру 25 Броен (34969B)",1 010 руб
Кран шаровой стальной фланец фланец Ду 15 Ру 40 ЛД (КШ.Ц.Ф.015.040.02),1 020 руб
Кран шаровой стальной сварка сварка Ду 20 Ру 16 Броен (КШТ 11с10фт 60.002.020) ,1 025 руб
Клапан обратный латунный ду 32 ру 16 Броен (10403B),1 050 руб
Кран шаровой стальной муфта муфта Ду 32 Ру 40 ЛД (КШ.Ц.М.032.040.02),1 120 руб
"Кран шаровой латунный внутренняя резьба DIN 259/накидная гайка (американка) полнопроходной, с ручка-бабочка, ду 25 ру 25 Броен (35560B)",1 145 руб
"Кран шаровой латунный нр-вр полнопроходной, с ручка-рычаг, ду 32 ру 25 Броен (34978B)",1 150 руб
Кран шаровой стальной фланец фланец Ду 20 Ру 40 ЛД (КШ.Ц.Ф.020.040.02),1 150 руб
Кран шаровой стальной сварка сварка Ду 25 Ру 16 Броен (КШТ 11с10фт 60.002.025),1 154 руб
Кран шаровой стальной сварка сварка Ду 40 Ру 40 ЛД (КШ.Ц.П.040.040.02),1 170 руб
Кран шаровой стальной сварка сварка Ду 32 Ру 16 Броен (КШТ 11с10фт 60.002.032),1 246 руб
Кран шаровой стальной муфта муфта Ду 40 Ру 40 ЛД (КШ.Ц.М.040.040.02),1 270 руб
Кран шаровой стальной сварка сварка Ду 50 Ру 40 ЛД (КШ.Ц.П.050.040.02),1 280 руб
Фильтр латунный ду 32 ру 16 Броен (20153B),1 300 руб
"Гибкая вставка Ду020 Ру10, EPDM, нейлоновый корд, G3/4"" внутреняя/внутреняя резьба (ABRA-EJS-30-020)",1 306 руб
"Кран шаровой латунный вр-вр полнопроходной, с ручка-рычаг, ду 40 ру 25 Броен (34970B)",1 400 руб
Кран шаровой стальной фланец фланец Ду 25 Ру 40 ЛД (КШ.Ц.Ф.025.040.02),1 420 руб
Кран шаровой Броен (КШТ 60.102.010) св/св ду 10 ру 40,1 451 руб
Кран шаровой Броен (КШТ 60.102.015) св/св ду 15 ру 40,1 451 руб
