Комплект торцевых заглушек FHF-E (2 шт.) (088U0582),1 101 руб
Комплект переходников 1 x 3/4 FHF-R (2 шт.)  (088U0584),1 101 руб
Электронный термостат BasicPlus2 дисковый WT-T (088U0620),1 927 руб
Датчик температуры пола TS3 для комнатных термостатов серии TP (087N6784),2 202 руб
"Комплект радиаторного терморегулятора RAE-K, RLV-KS угловой, с переходниками, G3/4A x G1/2A (013G5090)",2 532 руб
"Комплект радиаторного терморегулятора RAE-K, RLV-KS прямой, с переходниками, G3/4A x G1/2A (013G5091)",2 532 руб
"Комплект радиаторного терморегулятора RAE, RLV-KS угловой, с переходниками, G3/4A x G1/2A (013G5140)",2 532 руб
"Комплект радиаторного терморегулятора RAE, RLV-KS прямой, с переходниками, G3/4A x G1/2A (013G5141)",2 532 руб
"Комплект радиаторного терморегулятора RAE, RA-FN, RLV-S угловой, Ду15, 6 бар (013G5083)",3 028 руб
"Комплект радиаторного терморегулятора RAE, RA-FN, RLV-S прямой, Ду15, 6 бар (013G5084)",3 028 руб
Термостат FJVR для регулирования температуры возвращаемого теплоносителя (003L1040),3 462 руб
Электронный термостат BasicPlus2  с дисплеем WT-D (088U0622),3 743 руб
Комплект шаровых кранов FHF-BV с гнездом для установки термометра (2 шт.) (088U0586),4 404 руб
"Термоэлектрический привод, при отсутствии напряжения закрыт, резьбовое соединение (088H3142)",4 816 руб
"Термоэлектрический привод, при отсутствии напряжения открыт, резьбовое соединение (088H3143)",4 816 руб
"Термоэлектрический привод TWA-A, при отсутствии напряжения закрыт (088H3112)",4 816 руб
"Термоэлектрический привод TWA-A, при отсутствии напряжения открыт (088H3113)",4 816 руб
Программируемый электронный термостат BasicPlus2  с дисплеем WT-P (088U0625),5 009 руб
Термостатический элемент FTC с выносным датчиком (013G5081),5 896 руб
Коллекторы FHF-2 для 2 контуров (088U0502),6 386 руб
"Регулятор перепуска AVDO угловой, Ду15 (003L6002)",6 760 руб
Беспроводный программируемый комнатный термостат TP5001A-RF (087N791301),7 707 руб
"Приемник сигнала беспроводных термостатов RX-1, 1 канал (087N7476)",7 707 руб
Клапан FHV-A для регулирования напольного отопления по температуре воздуха (003L1001),8 096 руб
Коллекторы FHF-2F с расходомерами для 2 контуров (088U0522),8 147 руб
Клапан FHV-R для регулирования по температуре возвращаемого теплоносителя (003L1000),8 477 руб
Термостат безопасности FH-ST55 (088U0301),8 808 руб
"Приемник сигнала беспроводных термостатов RX-3, 3 канала (087N7478)",8 808 руб
Коллекторы FHF-3 для 3 контуров (088U0503),9 358 руб
"Комплект коллекторов FHF-2 set с кронштейнами и воздухоотводчиками, 2 контура (088U0702)",9 689 руб
"Регулятор перепуска AVDO прямой, Ду20 (003L6023)",9 755 руб
Комплект беспроводного термостата RET2000B-RF и ресивера RX1-S (087N6444),9 909 руб
"Коммутационное устройство FH-WC, 8 каналов, 230 В (088H0016)",9 909 руб
"Регулятор перепуска AVDO угловой, Ду25 (003L6012)",10 695 руб
"Комплект коллекторов FHF-2F set с расходомерами, кронштейнами и воздухоотводчиками, 2 контура (088U0722)",11 450 руб
Коллекторы FHF-3F с расходомерами для 3 контуров (088U0523),11 560 руб
Коллекторы FHF-4 для 4 контуров (088U0504),12 221 руб
"Комплект коллекторов FHF-3 set с кронштейнами и воздухоотводчиками, 3 контура (088U0703)",12 661 руб
"Комплект коллекторов FHF-3F set с расходомерами, кронштейнами и воздухоотводчиками, 3 контура (088U0723)",14 863 руб
Коллекторы FHF-5 для 5 контуров (088U0505),15 083 руб
Коллекторы FHF-4F с расходомерами для 4 контуров (088U0524),15 083 руб
"Комплект коллекторов FHF-4 set с кронштейнами и воздухоотводчиками, 4 контура (088U0704)",15 524 руб
"Комнатный термостат ECtemp Smart с Wi-Fi подключением, полярный белый (088L1140)",16 328 руб
"Комнатный термостат ECtemp Smart с Wi-Fi подключением, белый (088L1141)",16 328 руб
"Комнатный термостат ECtemp Smart с Wi-Fi подключением, черный (088L1143)",16 328 руб
Коллекторы FHF-6 для 6 контуров (088U0506),18 056 руб
"Комплект коллекторов FHF-5 set с кронштейнами и воздухоотводчиками, 5 контуров (088U0705)",18 386 руб
"Комплект коллекторов FHF-4F set с расходомерами, кронштейнами и воздухоотводчиками, 4 контура (088U0724)",18 386 руб
Коллекторы FHF-5F с расходомерами для 5 контуров (088U0525),18 496 руб
Коллекторы FHF-7 для 7 контуров (088U0507),20 918 руб
"Комплект коллекторов FHF-6 set с кронштейнами и воздухоотводчиками, 6 контуров (088U0706)",21 359 руб
"Комплект коллекторов FHF-5F set с расходомерами, кронштейнами и воздухоотводчиками, 5 контуров (088U0725)",21 799 руб
Коллекторы FHF-6F с расходомерами для 6 контуров (088U0526),21 909 руб
Коллекторы FHF-8 для 8 контуров (088U0508),23 891 руб
"Комплект коллекторов FHF-7 set с кронштейнами и воздухоотводчиками, 7 контуров (088U0707)",24 221 руб
"Комплект коллекторов FHF-6F set с расходомерами, кронштейнами и воздухоотводчиками, 6 контуров (088U0726)",25 212 руб
Коллекторы FHF-7F с расходомерами для 7 контуров (088U0527),25 432 руб
Коллекторы FHF-9 для 9 контуров (088U0509),26 754 руб
"Комплект коллекторов FHF-8 set с кронштейнами и воздухоотводчиками, 8 контуров (088U0708)",27 194 руб
"Комплект коллекторов FHF-7F set с расходомерами, кронштейнами и воздухоотводчиками, 7 контуров (088U0727)",28 735 руб
Коллекторы FHF-8F с расходомерами для 8 контуров (088U0528),28 845 руб
Коллекторы FHF-10 для 10 контуров (088U0510),29 616 руб
"Комплект коллекторов FHF-9 set с кронштейнами и воздухоотводчиками, 9 контуров (088U0709)",30 056 руб
"Комплект коллекторов FHF-8F set с расходомерами, кронштейнами и воздухоотводчиками, 8 контуров (088U0728)",32 148 руб
Коллекторы FHF-9F с расходомерами для 9 контуров (088U0529),32 258 руб
Коллекторы FHF-11 для 11 контуров (088U0511),32 589 руб
"Комплект коллекторов FHF-10 set с кронштейнами и воздухоотводчиками, 10 контуров (088U0710)",32 919 руб
Коллекторы FHF-12 для 12 контуров (088U0512),35 451 руб
"Комплект коллекторов FHF-9F set с расходомерами, кронштейнами и воздухоотводчиками, 9 контуров (088U0729)",35 561 руб
Коллекторы FHF-10F с расходомерами для 10 контуров (088U0530),35 782 руб
"Комплект коллекторов FHF-11 set с кронштейнами и воздухоотводчиками, 11 контуров (088U0711)",35 892 руб
"Комплект коллекторов FHF-12 set с кронштейнами и воздухоотводчиками, 12 контуров (088U0712)",38 754 руб
"Комплект коллекторов FHF-10F set с расходомерами, кронштейнами и воздухоотводчиками, 10 контуров (088U0730)",39 084 руб
Коллекторы FHF-11F с расходомерами для 11 контуров (088U0531),39 195 руб
"Комплект коллекторов FHF-11F set с расходомерами, кронштейнами и воздухоотводчиками, 11 контуров (088U0731)",42 497 руб
Коллекторы FHF-12F с расходомерами для 12 контуров (088U0532),42 608 руб
Узел смешения FHM-C5 с 3-х скоростным насосом UPS 15-40 (088U0093),44 479 руб
"Комплект коллекторов FHF-12F set с расходомерами, кронштейнами и воздухоотводчиками, 12 контуров (088U0732)",45 910 руб
Узел смешения FHM-C6 с 3-х скоростным насосом UPS 15-60 (088U0096),46 021 руб
Узел смешения FHM-C1 с энергоэффективным насосом UPM3 AUTO L (088U0094),55 929 руб
