"
Сокращенное название:
АО ""БАЙКАЛЭНЕРГО"" ОП ""ЦТС""
","
Телефон: 
 (3952) 794988, 795004 (3952) 794952 (3952) 794245
","
E-Mail: 
 Nikolskii_av@nitec.irkutskenergo.ru baykalenergo@nitec.irkutskenergo.ru
","
Телефон: 
797-245
","
E-Mail: 

"
"
Сокращенное название:
АО ""Балтийский завод""
","
Телефон: 
 (812) 3249435
","
E-Mail: 
 info@bz.ru
","
Телефон: 
(812) 3249435
","
E-Mail: 
info@bz.ru
"
"
Сокращенное название:
АО ""БаММ""
","
Телефон: 
 (3852) 770291 (3852) 779903 (3852) 752529
","
E-Mail: 
 bamm@bna.ru
","
Телефон: 
75-25-29
","
E-Mail: 

"
"
Сокращенное название:
АО ""Башнефтегеофизика""
","
Телефон: 
 (347) 2726024
","
E-Mail: 

","
Телефон: 
9874864528
","
E-Mail: 

"
"
Сокращенное название:
АО ""БВЭМ""
","
Телефон: 
 (8453) 497338
","
E-Mail: 
 balakovovem@mail.ru
","
Телефон: 
(8453) 498238
","
E-Mail: 
balakovovem@mail.ru
"
"
Сокращенное название:
АО ""Бейкер Хьюз""
","
Телефон: 
 (3496) 343196
","
E-Mail: 
 NoyabrskReception@bakerhughes.com
","
Телефон: 
349 6343196
","
E-Mail: 

"
"
Сокращенное название:
АО ""Белкамнефть"" им. А.А. Волкова
","
Телефон: 
 (3412) 253110, 766025, 918818 (3412) 911730, 666025 (3412) 662649 (3412) 606799
","
E-Mail: 
 hramova@belkam.com belkamneft@belkam.co belkamneft@belkam.com
","
Телефон: 
(3412) 917818
","
E-Mail: 

"
"
Сокращенное название:
АО ""БЗММК им. В.А. Скляренко""
","
Телефон: 
 (47246) 50213 (47246) 5-04-31
","
E-Mail: 
 zaobzmmk@gmail.com bzmmk@mail.ru
","
Телефон: 
(47246) 5-04-31
","
E-Mail: 

"
"
Сокращенное название:
АО ""Благовещенский арматурный завод""
","
Телефон: 
 (34766) 21230, 21363 (34766) 21230 (34766) 2-13-78
","
E-Mail: 
 baz@omk.ru baz@ufanet.ru
","
Телефон: 
(34766) 29910, доб.4174
","
E-Mail: 

"
"
Сокращенное название:
АО ""БМЗ""
","
Телефон: 
 (3424) 274225 (3424) 274589 (3424) 274202 3424 274225, 3424 274589
","
E-Mail: 

","
Телефон: 
(3424) 21-18-44
","
E-Mail: 

"
"
Сокращенное название:
АО ""БМУ""
","
Телефон: 
 (86559) 22945
","
E-Mail: 
 bmu-stm@yandex.ru
","
Телефон: 
(86559) 22945
","
E-Mail: 
bmu-stm@yandex.ru
"
"
Сокращенное название:
АО ""Борхиммаш""
","
Телефон: 
 (47354) 61104, 62057 (47354) 60514, 41802 (47354) 41702 (47354) 6-05-14, 4-17-02
","
E-Mail: 
 info@bhm.ru
","
Телефон: 
(47354) 6-11-04
","
E-Mail: 

"
"
Сокращенное название:
АО ""БСК""
","
Телефон: 
 (3473) 292337 (3473) 216136 (3473) 254203 (3473) 290728, 290726, 290710 (3473) 216095 (3473) 292469 (3473) 297680
","
E-Mail: 
 info@kaus.ru anufriev.kv@kaus.ru stasenko.VF@kaus.ru
","
Телефон: 
(3473) 29-57-64
","
E-Mail: 
Kazikhanov.EM@soda.ru
"
"
Сокращенное название:
АО ""БЦЛ""
","
Телефон: 
 (8453) 360077
","
E-Mail: 

","
Телефон: 
(906) 1638830
","
E-Mail: 

"
"
Сокращенное название:
АО ""БЮРО ВЕРИТАС РУСЬ""
","
Телефон: 
 (495) 9375777 (495)9375758 8-495-937-5777 (495) 937-57-77/(495) 937-57-77 8(495)2287848
","
E-Mail: 
 Svetlana.malanova@ru.bureauveritas.com leedback@ru.bureauveritas.com georgiy1963@mail.ru
","
Телефон: 
(495)228-78-48
","
E-Mail: 

"
